SCIACOVELLI SINDACO - CI PIACE!,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,BARI CITTÀ D'EUROPA,MOVIMENTO CINQUE STELLE,GENERAZIONE URBANA,BARI BENE COMUNE,PCI - PARTITO COMUNISTA ITALIANO,LAFORGIA SINDACO,NOI POPOLARI,PROGETTO BARI CON LECCESE,PARTITO DEMOCRATICO,LECCESE SINDACO,CON LECCESE SINDACO,DECARO PER BARI,EUROPA VERDE - VERDI,BARI X FABIO ROMITO,AGORÀ,MARIO CONCA PER BARI,NOI MODERATI - RIPRENDIAMOCI IL FUTURO,LIBERALI E RIFORMISTI - nPSI,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,FRATELLI D'ITALIA,FORZA ITALIA,ROMITO SINDACO,PENSIONATI E INVALIDI,OLTRE MANGANO SINDACO,TOT_SEZIONE,COALIZIONE ROMITO,COALIZIONE LECCESE,COALIZIONE LAFORGIA,SEZIONE
2,0,16,56,10,20,6,26,15,10,104,31,17,34,10,4,1,0,5,3,8,47,16,18,0,4,463,102,221,134,305
3,1,15,21,2,20,6,28,5,19,104,21,31,46,12,10,1,0,3,4,13,43,20,30,1,0,459,125,238,92,306
2,0,11,33,6,8,1,45,8,8,110,8,11,56,3,10,2,0,1,2,16,59,22,15,0,0,437,127,204,104,307
1,3,33,20,0,5,0,11,1,7,78,8,16,46,7,3,0,2,3,12,27,30,22,11,2,0,348,112,163,69,308
4,1,30,36,0,17,2,22,11,15,112,20,32,48,1,16,2,2,2,13,39,52,38,49,0,0,564,213,239,107,309
2,0,5,6,0,0,0,1,2,2,13,12,3,13,1,0,0,0,0,1,13,30,7,3,0,2,116,54,46,12,310
3,0,38,49,2,11,2,25,7,20,117,32,22,52,3,10,1,1,10,12,28,41,24,38,1,0,549,166,253,127,311
2,0,20,20,10,35,7,50,2,34,125,38,24,39,23,6,0,3,2,0,9,50,24,33,0,1,557,127,285,142,312
1,2,4,19,0,9,1,1,9,8,48,9,14,55,3,4,0,1,5,8,14,22,14,12,0,0,263,80,146,34,313
4,0,15,9,5,22,2,29,6,18,114,22,16,36,11,7,0,5,1,5,13,50,13,18,0,2,423,112,223,82,314
